Country Name,region,Image URL,1995,1995.1,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Turkey,204,https://www.countryflags.io/tr/flat/64.png,"7,083,000","7,083,000","7,966,000","9,040,000","8,960,000","6,893,000","9,586,000","10,783,000","12,790,000","13,341,000","16,826,000","20,273,000","18,916,000","26,122,000","29,792,000","30,187,000","31,364,000","34,654,000","35,698,000","37,795,000","39,811,000","39,478,000","30,289,000","37,601,000"
Tuvalu,205,,900,900,1,1,1,"1,1","1,1","1,1","1,3","1,4","1,3","1,1","1,1","1,1","1,7","1,6","1,7","1,2","1,1","1,3","1,4","2,4","2,5","2,5"
Tanzania,206,,285,285,315,347,450,564,459,501,550,552,566,590,622,692,750,695,754,843,"1,043,000","1,063,000","1,113,000","1,104,000","1,233,000","1,275,000"
Uganda,207,,160,160,174,175,195,189,193,205,254,305,512,468,539,642,844,807,946,"1,151,000","1,197,000","1,206,000","1,266,000","1,303,000","1,323,000","1,402,000"
Ukraine,208,https://www.countryflags.io/ua/flat/64.png,"3,716,000","3,716,000","3,854,000","7,558,000","6,208,000","4,232,000","6,431,000","9,174,000","10,517,000","12,514,000","15,629,000","17,631,000","18,936,000","23,122,000","25,449,000","20,798,000","21,203,000","21,415,000","23,013,000","24,671,000","12,712,000","12,428,000","13,333,000","14,230,000"
Uruguay,209,https://www.countryflags.io/uy/flat/64.png,"2,022,000","2,022,000","2,152,000","2,316,000","2,163,000","2,073,000","1,968,000","1,892,000","1,258,000","1,420,000","1,756,000","1,808,000","1,749,000","1,753,000","1,938,000","2,055,000","2,353,000","2,857,000","2,695,000","2,683,000","2,682,000","2,773,000","3,037,000","3,674,000"
United States,210,https://www.countryflags.io/us/flat/64.png,"43,318,000","43,318,000","46,489,000","47,767,000","46,377,000","48,509,000","51,238,000","46,927,000","43,581,000","41,218,000","46,086,000","49,206,000","50,977,000","56,135,000","58,007,000","55,103,000","60,010,000","62,821,000","66,657,000","69,995,000","75,022,000","77,774,000","76,407,000","76,941,000"
Uzbekistan,211,,92,92,173,960,811,487,302,345,332,231,262,242,560,903,"1,069,000","1,215,000",975,,,"1,969,000","1,862,000","1,918,000","2,027,000","2,690,000"
St. Vincent and the Grenadines,212,,60,60,58,65,67,68,73,71,78,79,87,96,97,90,84,75,72,74,74,72,71,75,79,76
Venezuela,213,https://www.countryflags.io/uy/flat/64.png,700,700,759,814,685,587,469,584,432,337,486,706,748,756,699,562,526,595,988,986,857,789,601,427
